date,federationId,match_link,season,serie,arena,home_team,away_team,domare1,domare2
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/40695/match/1571645,2025/26,SSL - Svenska Superligan Damer,"Sparbanken Wictory Center, Unihocplanen",580020065,Warberg IC,Växjö IBK,Josefine Hedelind,Jesper Liedberg
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/40695/match/1571648,2025/26,SSL - Svenska Superligan Damer,TTM hallen,580020068,FBC Kalmarsund,Endre IF,Kevin Cardell,Ola Nilsson
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/41424/match/1609587,2025/26,DamJunior 18 Norra,Jönköpings Idrottshus B-hall,141321008,Jönköpings IK/Hovslätts IK DJ18,Månsarps IBK/Fagerhult Habo IBK Ungd. DJ18,Elmar Delimehic,Bujar Kuroshi
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/41416/match/1608961,2025/26,Herrar Division 5 Norra,"KFUM Sporthall, Jönköping",142410030,KFUM Jönköping,Månsarps IBK B,Alva Perman,Emil Lindén
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/41677/match/1612130,2025/26,Pantamera F Röd Östra -11,Emmaboda Sporthall,141404022,Gantesbo IBK F10-12,CL98IC F13/1,Nicklas Hult,Christer Jonsson
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/41657/match/1609982,2025/26,Pantamera P Röd MellanSyd -09,Falkenbergshallen,141451037,CL98IC P09,FBC Kalmarsund P11/1,Oskar Kedmalm,Filip Dahlberg-Sjölund
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/41666/match/1611667,2025/26,Pantamera P Röd Norra -12 C,Tenhults Sporthall,142702027,Tenhults IF P12-P13,Husqvarna IK P13 Vit,Peter Nykvist,Gordon Vikor
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/40695/match/1571646,2025/26,SSL - Svenska Superligan Damer,IFU Arena A,580020066,Storvreta IBK,Täby FC IBK,Hampus Viking,Rasmus Widén
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/40696/match/1572123,2025/26,Allsvenskan Damer Norra,Tyresöhallen,580026047,Tyresö Trollbäcken IBK,Åkersberga IBF,Noel Hildensjö,Moltas Gunnarsson
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/42361/match/1647462,2025/26,Bäst i Stan Herrjunior – Slutspel,Farstahallen 3,150165004,Farsta IBK,IFK Haninge,David Berger,Tobias Berger
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/41362/match/1581090,2025/26,Damer Division 3 Mellersta,Mörbyhallen,150037029,Danderyd FC,Järfälla Bele IBK (C),Malte Hedenstierna Jonson,Svante Ehn
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/40759/match/1576239,2025/26,Herrar Division 4 Mellersta,Torsviks Idrottshall,150007035,IBF Offensiv Lidingö (B),Tumba GOIF (B),Magnus Berg,Shabbir Ahmed
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/40814/match/1655611,2025/26,Herrar Veteraner Division 2 Södra,Utsäljehallen,150022030,Segeltorps IF IBF,Hammarby IF IBF,Joel Forssell,Mario Mallengren
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/41551/match/1593092,2025/26,Juniorallsvenskan C DJ18,Hässelbyhallen,580732036,Hässelby SK IBK,Västerås IBS Ungdom,Aldin Imamovic,Imtiaz Karim
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/41551/match/1593093,2025/26,Juniorallsvenskan C DJ18,Hägerneholmshallen,580732037,Täby FC,Rönnby Västerås IBK Ungdom,Andreas Persson Stenberg,Peter Hagelin
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/41542/match/1597536,2025/26,Juniorallsvenskan D HJ18,Glömstahallen,580703049,Huddinge IBS,AIK IBF,Manne Jahnsson,Johnny Mikael Claesson
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571644,2025/26,SSL - Svenska Superligan Damer,Umeå Energi Arena,580020064,IBK Dalen,Thorengruppen IBK,Daniel Bäckner,Jonatan Svahn
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571645,2025/26,SSL - Svenska Superligan Damer,"Sparbanken Wictory Center, Unihocplanen",580020065,Warberg IC,Växjö IBK,Josefine Hedelind,Jesper Liedberg
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571646,2025/26,SSL - Svenska Superligan Damer,IFU Arena A,580020066,Storvreta IBK,Täby FC IBK,Hampus Viking,Rasmus Widén
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571647,2025/26,SSL - Svenska Superligan Damer,AllOffice Arena,580020067,Karlstad IBF,Västerås Rönnby IBK,Jörgen Andersson,Amir Zilic
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571648,2025/26,SSL - Svenska Superligan Damer,TTM hallen,580020068,FBC Kalmarsund,Endre IF,Kevin Cardell,Ola Nilsson
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571649,2025/26,SSL - Svenska Superligan Damer,Partille Arena A-hallen,580020069,FBC Partille,Pixbo IBK,Tobias Anderberg,Jacob Johansson
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571650,2025/26,SSL - Svenska Superligan Damer,Lerbäckshallen A,580020070,IBK Lund Elit,Malmö FBC,Erik Hindemith,Fredrik Lundborg
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40696/match/1572121,2025/26,Allsvenskan Damer Norra,Bilkompaniet Arena,580026045,KAIS Mora IF,Sundsvalls IBF,Tim Green,Daniel Larsson
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40696/match/1572122,2025/26,Allsvenskan Damer Norra,IFU Arena Mirva (E),580026046,Hagunda IF,Alunda IBF,Fredrik Andersson,Handrin Thunqvist
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40696/match/1572123,2025/26,Allsvenskan Damer Norra,Tyresöhallen,580026047,Tyresö Trollbäcken IBK,Åkersberga IBF,Noel Hildensjö,Moltas Gunnarsson
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40696/match/1572119,2025/26,Allsvenskan Damer Norra,Balderhallen A,580026043,Gamla Stan IBK,IBF Dalen,Tony Cederholm,Manuel Garzon
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40697/match/1570705,2025/26,Allsvenskan Damer Södra,Lindås Waves Arena,580027052,Lindås IBK,Landvetter IBK,Richard Claesson,Stefan Olsson
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/41551/match/1593092,2025/26,Juniorallsvenskan C DJ18,Hässelbyhallen,580732036,Hässelby SK IBK,Västerås IBS Ungdom,Aldin Imamovic,Imtiaz Karim
