Domare,Date,Matcher
Magnus Fredriksson,2023-10-14,1
Marcus Larsson,2023-10-14,1
Marcus Orrhult,2023-10-14,1
Martin Andersson,2023-10-14,1
Martin Jonsson,2023-10-14,1
Mathias Hannu,2023-10-14,1
Melker Tillander,2023-10-14,1
Mikael Ömnehag,2023-10-14,1
Oscar Skogsberg,2023-10-14,1
Petter Enlund,2023-10-14,1
Rasmus Lindmark,2023-10-14,1
René Schweikart,2023-10-14,1
Sebastian Asplund-Larsson,2023-10-14,1
Sebastian Cedgard,2023-10-14,1
Sebastian Kiejs Huhmarniemi,2023-10-14,1
Torbjörn Zahner,2023-10-14,1
Wessam Abdellrazek,2023-10-14,1
Yao-Zu Galby,2023-10-14,1
Joel Mellby,2023-10-15,4
Oscar Skogsberg,2023-10-15,4
Adnan Tongur,2023-10-15,3
Christian Svärdström,2023-10-15,3
