Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-01-13,11:00,Klubbhuset P-14 Kajsa Vår,Pixbo IBK P14 Grå,FBC Lerum Utveckling P14 Röd,Wallenstam Arena B,Klara Olofsson,,https://stats.innebandy.se/sasong/43/serie/36869/match/1437149
2024-01-13,09:00,Klubbhuset P-14 Piff Vår,Pixbo IBK P14 Vit,FBC Partille P 14 Blå,Wallenstam Arena B,Charlie Norin,Kai Fridolf,https://stats.innebandy.se/sasong/43/serie/36870/match/1437332
2024-01-13,10:00,Klubbhuset P-14 Piff Vår,Pixbo IBK P14 Röd,Hindås IBK P14,Wallenstam Arena B,Anton Sköld,Tage Sandquist,https://stats.innebandy.se/sasong/43/serie/36870/match/1437338
2024-01-13,10:00,Klubbhuset P-14 Piff Vår,Eken IBK P14,Öckerö IBK P14/15,Ekenhallen 1,Melker Kjellberg,Noel Hylén,https://stats.innebandy.se/sasong/43/serie/36870/match/1437339
2024-01-13,12:00,Klubbhuset P-14 Piff Vår,Pixbo IBK P14 Svart,Utbynäs SK P14 BLÅ,Wallenstam Arena B,Klara Olofsson,,https://stats.innebandy.se/sasong/43/serie/36870/match/1437333
2024-01-13,12:30,Klubbhuset P-14 Puff Vår,Stenungsunds IBK P14-15,Herrestads AIF P13 14 15,Kyrkenorumskolans Idrottshall,,,https://stats.innebandy.se/sasong/43/serie/36871/match/1440806
2024-01-13,10:30,Pantamera Flick Mörkröd C Vår,Warberg IBF Junior,FBC Lerum Akademi,"Sparbanken Wictory Center, Unihocplanen",Joakim Karlsson,Benjamin Olsen,https://stats.innebandy.se/sasong/43/serie/36837/match/1439052
2024-01-13,19:40,Pantamera Flick Mörkröd C Vår,Lindås IBK F08,IBF Älvstranden F08 Svart,Lindås Waves Arena,Jesper Björklund Greter,Sandra Lindskog,https://stats.innebandy.se/sasong/43/serie/36837/match/1439053
2024-01-13,09:00,Pantamera Flick Röd A Vår,Pixbo IBF F09 Röd,FBC Partille F09/11 Blå,Wallenstam Arena A,Anton Sköld,Tage Sandquist,https://stats.innebandy.se/sasong/43/serie/36838/match/1439264
2024-01-13,13:00,Pantamera Flick Röd A Vår,Floda IBK / FBC Partille F08/09,Landvetter IBK F09 Blå,Nova Floda Sportcenter A-hall,Johannes Lunde,Samuel Lindholm,https://stats.innebandy.se/sasong/43/serie/36838/match/1439266
2024-01-13,14:40,Pantamera Flick Röd A Vår,Ale IBF F08/09,Dingle AIK F10/11 Vit,Ale Kulturrum,Semir Aganspahic,Sebastian Ågren,https://stats.innebandy.se/sasong/43/serie/36838/match/1439265
2024-01-13,18:00,Pantamera Flick Röd A Vår,Kärra IBK F09/10,IBK Kungälv / Surte IS IBK F08/09,Kärra Sporthall,Adam Jällfält,Thomas Johansson,https://stats.innebandy.se/sasong/43/serie/36838/match/1439263
2024-01-13,16:45,Pantamera Flick Röd B Vår,Landvetter IBK F09-10,Lindås IBK F10 Blå,Pinntorps Idrottshall,Meron Garza,Emir Rajabi,https://stats.innebandy.se/sasong/43/serie/36840/match/1438303
2024-01-13,12:50,Pantamera Flick Röd C Vår FD,Pixbo IBF F10 Vit,Lindås IBK F10 Svart,Wallenstam Arena A,Oliwer Nyrén,Alejandra Feng,https://stats.innebandy.se/sasong/43/serie/36841/match/1438332
2024-01-13,13:30,Pantamera Flick Röd D Vår FD,Ale IBF F10/11,FBC Lerum F10/11 Röd,Ale Kulturrum,Semir Aganspahic,Sebastian Ågren,https://stats.innebandy.se/sasong/43/serie/36858/match/1438366
2024-01-13,14:00,Pantamera Flick Röd D Vår FD,Pixbo IBF F11,Hindås IBK F10/11,Wallenstam Arena A,Oliwer Nyrén,Alejandra Feng,https://stats.innebandy.se/sasong/43/serie/36858/match/1438363
2024-01-13,13:30,Pantamera Flick Röd E Vår FD,IBK Göteborg /Guldhedens IK F09-11,IBK Kungälv F10/11/12 Vit,Härlandatjärns Skolans Sporthall,Meron Garza,Jasmin Dzanic,https://stats.innebandy.se/sasong/43/serie/36859/match/1438410
2024-01-13,13:31,Pantamera Flick Röd E Vår FD,FBC Lerum F10/11 Svart,Frölunda IBK Flickor Röd,Rydsbergshallen,Måns Eliason,Tage Sandquist,https://stats.innebandy.se/sasong/43/serie/36859/match/1438409
2024-01-13,18:15,Pantamera Pojk Mörkröd B Vår,FBC Partille HJ,Warberg IBF P08,Qvisthallen,Henrik Nordström,Selma Hadziselimovic,https://stats.innebandy.se/sasong/43/serie/36855/match/1439112
2024-01-13,11:30,Pantamera Pojk Mörkröd C Vår,Frölunda IBK HJ,Utbynäs SK HJ,Frölunda Kulturhus,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/36856/match/1439142
2024-01-13,17:15,Pantamera Pojk Mörkröd D Vår,Floda IBK HJ Vit,Dingle AIK HJ Vit,Nova Floda Sportcenter A-hall,Karl Dahlsjö,Måns Eliason,https://stats.innebandy.se/sasong/43/serie/36857/match/1439810
2024-01-13,16:45,Pantamera Pojkar Röd B Vår,FBC Vinga P07,IBK Göteborg P08/09 Rosa,Hall Of Flame,Ali Alizada,Patrich Hellfärdsson,https://stats.innebandy.se/sasong/43/serie/36844/match/1438489
2024-01-13,12:30,Pantamera Pojkar Röd C Vår,Landvetter IBK P08 Blå,IBK Kungälv P08 Vit,Pinntorps Idrottshall,Emir Rajabi,Yao-Zu Galby,https://stats.innebandy.se/sasong/43/serie/36845/match/1438512
2024-01-13,17:00,Pantamera Pojkar Röd C Vår,FBC Partille P09 Röd,FBC Lerum Utveckling HJ,Qvisthallen,Semir Aganspahic,Selma Hadziselimovic,https://stats.innebandy.se/sasong/43/serie/36845/match/1438513
2024-01-13,10:10,Pantamera Pojkar Röd D Vår,Landvetter IBK P09 Blå,Stenungsunds IBK U15 Svart,Pinntorps Idrottshall,Emir Rajabi,Yao-Zu Galby,https://stats.innebandy.se/sasong/43/serie/36846/match/1438544
2024-01-13,11:45,Pantamera Pojkar Röd D Vår,Lindome IBK P08/09,Floda IBK P09 Svart,Almåshallen A,Emrik Appelgren,Isak Bokesten,https://stats.innebandy.se/sasong/43/serie/36846/match/1438542
2024-01-13,11:20,Pantamera Pojkar Röd F Vår,Landvetter IBK P10 Svart,Lindås IBK P09 Blå,Pinntorps Idrottshall,Emir Rajabi,Yao-Zu Galby,https://stats.innebandy.se/sasong/43/serie/36848/match/1438604
